"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","7203095148.77176","7578242188.29928","7975810201.98363","7707448998.88756","8442610461.20637","8352574564.00101","8568947540.33594","8338140055.68335","9194523083.6621","9283931282.14005","9787377457.60815","9346152868.33773","8345497080.26751","8368269585.76159","8907036223.39218","8500561429.59424","9213576955.3551","8876522006.03214","9571928282.87313","9508293428.08994","9363938032.12934","9673311745.43905","9772341035.24416","10152460030.7211","10650448220.7286","10670729956.7374","11025535080.9392","11036013022.3899","10987891107.5401","10968439544.7255","11978816414.4962","12233863771.7868","12518099382.3227","12817166382.82","12911629974.6694","12863534281.2146","13245270116.8386","13843767203.1176","14388576082.995","14947074658.4129","16051703248.6244","16494397478.1264","16474785451.6394","17131116376.5129","17983134778.5954","18771237564.1121","19813551410.457","21139572600.936","22089557062.388","22855200652.9924","24261240511.5253","25342410911.2104","26106299958.6187","26749790892.4093","27919256989.5568","28848516252.0393","29652313214.8296","30600003288.1666","31684632614.4605","32717734674.593","33836991342.1986","34911170934.6714","35977340832.6925","37190295012.0826","38419027118.3237","39348466868.3966",
"Bulgaria","BGR","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","4268501904.40038","4459314935.06885","4717625612.85395","3946928994.01852","4407956400.02166","3499142494.78218","4270552365.36002","3645550919.2924","3924280219.60141","3729054288.27624","3591115590.40738","3867527649.35232","3296782943.63452","2300499240.09249","2518372843.4364","2869046805.7648","2762587871.48353","4083669907.87293","3299859492.79371","3149052598.15279","2803421541.11596","2820950511.59472","2967961095.85489","2920140027.13589","3027748866.87439","2771583744.75749","2747998667.40469","2004137178.23857","2641346009.33026","2406972306.53911","2145503749.32807","2267984779.36637","2017580961.01083","2090820928.91765","2237880031.2113","2062203600.84236","2216208145.9122","2403651179.25056","2360420250.66672","2407338359.39971","2342990082.68841","3047141526.59492","2826982526.79211","2393746519.88076","2567589220.30366","2603558487.80109",
"Bahrain","BHR","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86172947.212167","84340119.5343629","86593596.1874007","94555880.3614678","86473410.7659054","87855543.1131019","89688370.790906","91010410.4273549","101346356.675955","98191489.3617021","105012012.031563","104110621.370348","108016647.568947","106934978.775489","107115256.907732","114867216.594182","119915004.296987","125533672.751895","128885644.1574","133612837.248366",
"Bahamas, The","BHS","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126755152.791751","124504957.248491","154624066.39839","133556582.49497","147419089.034205","148953866.197183","145347931.086519","157933511.569417","144555835.01006","130673038.229376","122712273.641851","133779678.068411","138730885.311871","155234909.45674","170282696.177062","158438631.790744","143682092.555332","129896378.269618","121644366.197183","125818913.480885","129993460.764588","131546780.684105","121450201.207243","125236418.511066","101936619.71831","95820422.5352113","96500000","101354124.748491","96208752.5150905","84267605.6338028","65627766.5995976","76501006.0362173","51744969.8189135","51550804.8289738","68831488.9336016","83296780.6841046","",
"Bosnia and Herzegovina","BIH","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800732041.826223","822156749.150186","897452092.797147","832462364.762107","931060339.523001","976413722.228339","1032255658.61256","1054341001.74934","1099105701.14635","1078709752.65199","1035937986.09533","1034095228.63471","916792946.904716","1061236371.71645","926906323.399708","990423716.126866","1066825936.9725","981028924.121139","1070349728.58117","1047536656.66444","1116874886.82256","1026683963.91319","1042593932.40553","1023622298.62964","1041915723.55254","1046326667.39603",
"Belarus","BLR","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2841356094.96405","2737699417.14033","2514015435.0123","2553843158.89798","2147748163.39473","2095373994.38275","2126978424.1045","2010931244.19924","1980953446.04471","1838937762.22836","2003538394.25313","2032007447.00398","2090759065.03792","2249062028.8185","2546990645.85398","2609584679.32898","2764656230.43884","2897505606.74047","3146880771.65645","3155798621.92828","3228702706.83249","3467354965.55492","3678145806.84415","3545858643.22756","3634905967.20587","3547170379.98894","3686822162.65122","3849025548.14448","3716409159.05869","3825029181.51105","4006861676.64081","3843009555.92466","3944806258.36278","3944451789.65796","4076590565.77255","4109203290.29873",
"Belize","BLZ","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","34628243.5190567","36812008.2321897","38059916.9823255","40009672.6832579","43441345.6260475","44923143.1576874","40555613.7314214","54048177.300641","57011832.2190295","56075975.735553","56732233.3922665","58085479.326394","60791971.1946489","58397766.8496542","59230533.578348","59698964.8632383","56784281.3128099","66725434.1365924","66777482.0571358","70941315.7006048","78898326.8242183","82411844.6216335","92975854.9105584","97690199.4096147","101332669.033001","101214676.397129","108686311.534891","115903692.580798","118334070.23057","131277190.967532","146513647.179476","144560028.481881","143646171.092981","199793854.289625","219123723.308542","226301756.126519","210390186.337207","184835177.829621","187204399.172755","192011284.874537","205751831.802144","188627857.751695","216238082.497777","213299092.568455","226578546.967968","210841650","188448292.42582","211743692.510937","206688225.94064","200467510.525217","200605801.850101","238919733.503846","239044128.033945","224090135.88679","232098280.989513","253207933.257474",
"Bermuda","BMU","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21884832.9970079","22882044.3949621","20558383.5502053","22398739.8232552","14846314.4527173","15165000","21988247.5123513","20903450.3514021","18018396.4233526","18247385.7073273","18484816.9925545","23063547.4218913","17000080.0222671","15123845.243894","15100629.7404495","",
"Bolivia","BOL","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","786265049.756599","824707898.334476","816729193.458486","862676664.215333","880229630.39909","929274683.266334","963348088.486592","934953583.913499","991742592.39105","898815124.398735","938051166.023894","972724510.550872","1038578920.56452","1122268899.60862","1169913567.43155","1284659887.35268","1348892881.45286","1371904507.7419","1340162183.51777","1388305748.44197","1407076586.22307","1359442040.87444","1435673214.65655","1231745522.5304","1401077998.19312","1495360022.27734","1448105765.43015","1478161483.77606","1538992794.94745","1515494756.32098","1585386621.4204","1741703929.63317","1667940786.76591","1737052701.27135","1852954928.08431","1878965393.07826","2004936536.99454","2096256702.94799","2003409695.46751","2053637205.74247","2125008901.72919","2198552945.98467","2208387235.50042","2400800695.22855","2406750693.86648","2526675033.14117","2634298145.80526","2620974238.40976","2689512196.42959","2788538397.30261","2755687195.31337","2839897506.65945","2957737315.63945","3096310892.89089","3214591807.89169","3379053357.45297","3484934408.37459","3749740659.65681","3859932086.38651","3982264247.9929","4169398194.54405","4308502311.78884","4382524075.97334","4677770736.55399","4495636843.17753","",
"Brazil","BRA","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","10950017646.2063","11782218987.6452","11841130082.2921","11959541383.1192","12115015421.1159","13580932287.2514","13350056438.1975","14111009655.5358","14308563790.6051","15167077617.9257","16016433964.5548","17642771178.5681","18342735890.6445","18356584869.5058","18595146007.3794","19830416535.4222","20314104191.221","22774728619.5777","22164666811.1103","23207144810.6779","25423427140.0977","27449674283.1634","27389284999.7405","27263294288.7417","27980318928.5356","30660833481.8893","28201834636.6417","32423649281.747","32696007935.7137","33627844161.8815","32376888359.0595","32820451735.0281","34425371798.9573","34401274061.2449","36276101163.9671","37754735825.1444","38869697775.3826","39185719267.4298","40521516600.3105","43165641905.6122","44341217550.9974","46647111731.9733","50388289787.3847","54573713571.4555","55662526628.7917","56285980604.4965","58897325225.2254","60809721974.2916","64319031049.0056","61920780314.2585","66067579358.5429","69792896518.6395","67641710406.9858","73297534116.6358","75343117647.8389","77840238251.5396","73773694717.9007","84214432954.3025","85315162565.2255","85669251982.349","89245582231.7008","89248662331.2334","88244091716.668","102627223965.533","98787036042.2773","110348492666.058",
