iso3,population_norm,agri_share_gdp_norm,export_concentration_norm,landlocked_norm,export_instability_norm,agri_instability_norm,exposure_index,exposure_n_components,econ_instability_index,econ_instability_n_components,evi,evi_rank,partial_index,country,gni_per_capita_atlas,is_ldc
ZMB,0.9101781439207707,0.03797204877640916,0.4714924480515182,1.0,,0.15648720920807052,0.6049106601871745,4,0.15648720920807052,1,0.3806989346976225,16.0,False,Zambia,1170.0,True
BFA,0.8996141424597721,0.47771358809558956,0.26083581944809214,1.0,0.10708673834117548,0.07964034480780202,0.6595408875008635,4,0.09336354157448876,2,0.37645221453767613,17.0,False,Burkina Faso,840.0,True
UGA,0.7884023423145564,0.562522647162023,0.34567872098032865,1.0,0.07784418130732405,0.03719781749616043,0.674150927614227,4,0.05752099940174224,2,0.36583596350798464,18.0,False,Uganda,930.0,True
GNB,0.9910969737850545,0.9551261035586478,,0.0,0.07894732727961151,0.057672119886459795,0.6487410257812342,3,0.06830972358303565,2,0.3585253746821349,19.0,False,Guinea-Bissau,960.0,True
SWZ,0.9950722594110206,0.15024505066374866,0.3813465397121472,1.0,0.0,0.1602762558312526,0.6316659624467291,4,0.0801381279156263,2,0.35590204518117774,20.0,False,Eswatini,3650.0,False
SLE,0.9634269301501373,0.8069000213682812,,0.0,0.2333381051052669,0.0,0.5901089838394729,3,0.11666905255263345,2,0.3533890181960532,21.0,False,Sierra Leone,920.0,True
RWA,0.9393306270969001,0.5102833062556975,0.13035402601027543,1.0,0.06271434923471589,0.016153947373855972,0.6449919898407183,4,0.03943414830428593,2,0.3422130690725021,22.0,False,Rwanda,970.0,True
GIN,0.9375187401063649,0.6721148796894689,,0.0,0.18436717914433665,0.07143499512195138,0.5365445399319446,3,0.12790108713314402,2,0.33222281353254435,23.0,False,Guinea,1280.0,True
COM,0.9967972616257349,0.8421949986925233,0.49757163501407425,0.0,0.10526208857285219,0.023002644932837855,0.5841409738330832,4,0.06413236675284502,2,0.3241366702929641,24.0,False,Comoros,1630.0,True
CPV,0.9982071417528121,0.08461585075935614,0.7757022859384068,0.0,0.17227898612254963,0.18705189582276274,0.46463131961264376,4,0.1796654409726562,2,0.32214838029264997,25.0,False,Cabo Verde,4550.0,False
AGO,0.8407613823472752,0.4476303335608354,0.9117239702890518,0.0,0.0803928047621008,0.09390229934581451,0.5500289215492906,4,0.08714755205395766,2,0.3185882368016241,26.0,False,Angola,2290.0,True
SYC,1.0,0.022024790078816386,0.8180339498890423,0.0,0.07182284527293233,0.21652438471178703,0.4600146849919647,4,0.14417361499235967,2,0.30209414999216216,27.0,False,Seychelles,14390.0,False
BEN,0.9388442777049065,0.6348683322228943,0.5727998204105462,0.0,0.07893794892224935,0.03898842186917771,0.5366281075845867,4,0.05896318539571353,2,0.2977956464901501,28.0,False,Benin,1360.0,True
COD,0.5414221263160803,0.21960360813441226,0.6445972170277326,0.0,0.0582028371928154,0.36465968056816495,0.3514057378695563,4,0.21143125888049016,2,0.28141849837502325,29.0,False,"Congo, Dem. Rep.",610.0,True
COG,0.9734780119238841,0.16204976468562562,0.8068906145730684,0.0,0.03017945543761128,0.06719043319806105,0.4856045977956446,4,0.04868494431783617,2,0.2671447710567404,30.0,False,"Congo, Rep.",2170.0,False
GAB,0.9896387999269232,0.12353818038457384,0.3934676056745408,0.0,0.05069036772141286,0.1870872584452785,0.37666114649650945,4,0.11888881308334567,2,0.24777497978992757,31.0,False,Gabon,7150.0,False
MRT,0.9786766924051793,0.4927708152208801,0.307794830418542,0.0,0.0147005903817961,0.06651477204278985,0.44481058451115035,4,0.040607681212292975,2,0.24270913286172166,32.0,False,Mauritania,2010.0,True
GNQ,0.9924509737923538,0.022819781386256913,,0.0,0.024870847520554476,0.21949857523072153,0.3384235850595369,3,0.122184711375638,2,0.23030414821758743,33.0,False,Equatorial Guinea,5210.0,False
GHA,0.8519072625135935,0.4497247835861591,0.1663782529767191,0.0,0.12590455682338988,0.05165159750373413,0.3670025747691179,4,0.08877807716356201,2,0.22789032596633996,34.0,False,Ghana,2270.0,False
CMR,0.8766409567300635,0.37530982916946287,0.41410574439572156,0.0,0.02759421875798529,0.009714167617342248,0.416514132573812,4,0.01865419318766377,2,0.21758416288073787,35.0,False,Cameroon,1660.0,False
CIV,0.8642559933076215,0.3762669831149034,0.22950220453487066,0.0,0.02869858596301467,0.10265502054628353,0.3675062952393489,4,0.0656768032546491,2,0.216591549246999,36.0,False,Côte d'Ivoire,2440.0,False
TGO,0.9643603922392535,0.4925111976677221,0.06410278610970006,0.0,0.056527175278454946,0.04680306781248318,0.38024359400416896,4,0.05166512154546907,2,0.21595435777481903,37.0,False,Togo,1130.0,True
MDG,0.8640665174204603,0.5022649046713734,0.06003040665556359,0.0,0.1123019471152453,0.031409080533220064,0.35659045718684934,4,0.07185551382423268,2,0.214222985505541,38.0,False,Madagascar,500.0,True
MOZ,0.8541172959180054,0.6033112847011087,0.1288077016494615,0.0,0.05569501923033086,0.0016483478570493506,0.39655907056714396,4,0.028671683543690103,2,0.21261537705541703,39.0,False,Mozambique,500.0,True
KEN,0.7572867510294017,0.48790566863829254,0.2244750150912071,0.0,0.0669774658807748,0.02880818695659648,0.36741685868972535,4,0.04789282641868564,2,0.2076548425542055,40.0,False,Kenya,2170.0,False
SEN,0.9213955746729363,0.36997243766614596,0.0,0.0,0.022196839178364944,0.13253233896203326,0.32284200308477057,4,0.07736458907019911,2,0.20010329607748484,41.0,False,Senegal,1590.0,True
NGA,0.0,0.6763673778316042,0.8093331083032012,0.0,,0.026204081802131646,0.37142512153370133,4,0.026204081802131646,1,0.19881460166791648,42.0,False,Nigeria,2940.0,False
MUS,0.9948767440051769,0.04953541263208942,0.276867914591935,0.0,0.04944629373233558,0.06645746872186453,0.33032001780730036,4,0.05795188122710006,2,0.1941359495172002,43.0,False,Mauritius,11810.0,False
NAM,0.9875811713328592,0.18002945338267506,0.04419141160972823,0.0,0.04172272386105349,0.1284546628196476,0.3029505090813156,4,0.08508869334035055,2,0.19401960121083306,44.0,False,Namibia,4280.0,False
TZA,0.7103903144090926,0.5686726844163258,0.16484726342509093,0.0,0.02863927171269345,0.01087537057465339,0.3609775655626274,4,0.01975732114367342,2,0.1903674433531504,45.0,False,Tanzania,1210.0,True
ZAF,0.7208525856255563,0.025728493113606324,0.03198357711604191,0.0,0.02078464361941092,0.08441554170890019,0.19464116396380116,4,0.05260009266415555,2,0.12362062831397835,46.0,False,South Africa,6530.0,False
